filename,boundary
segment0_11,0.412349582784365
segment0_17,0.515046296296296
segment0_1,0
segment0_3,0.01
segment0_5,0.03
segment0_6,0.0553231874089546
segment0_2,0.0030998110698001
segment0_7,0.0756935863171685
segment0_4,0.0128522426064465
segment0_8,0.381199758751348
segment0_10,0.400484424631154
segment0_12,0.416237923753771
segment0_14,0.43370312915189
segment0_18,0.640140947058149
segment0_13,0.430130705881584
segment0_16,0.486782621912466
segment0_9,0.387869411849268
segment0_15,0.45418157834823
