filename,boundary
hepatitis_14,0.100984401029835
hepatitis_6,0.032258064516129
hepatitis_1,0
hepatitis_3,0.00645161290322581
hepatitis_16,0.116129032258065
hepatitis_12,0.0838709677419355
hepatitis_8,0.0516129032258065
hepatitis_10,0.0645161290322581
hepatitis_16,0.116129032258065
hepatitis_6,0.032258064516129
hepatitis_18,0.212903225806452
hepatitis_8,0.0516129032258065
hepatitis_4,0.0129032258064516
hepatitis_19,0.232258064516129
hepatitis_11,0.0709677419354839
hepatitis_3,0.00645161290322581
hepatitis_17,0.12258064516129
hepatitis_13,0.0967741935483871
hepatitis_10,0.0645161290322581
